worker_id,cluster,tsne_x,tsne_y
0,0,18.910402,-50.094917
1,0,8.3720255,-20.734457
2,0,30.570383,-38.655067
3,0,-16.452402,37.141693
4,0,-5.2089605,-27.45599
5,0,-16.583717,4.9241056
6,0,40.561066,62.166283
7,0,34.83662,30.019049
8,0,45.41238,51.01557
9,0,56.725574,62.30122
10,0,7.728211,41.114952
11,0,25.036787,16.749416
12,0,52.335827,17.689123
13,0,37.470947,-25.101925
14,0,5.8642244,-9.779921
15,0,46.22999,38.35258
16,0,13.433174,16.341473
17,0,4.1295514,6.4176464
18,0,30.582346,0.5033721
19,0,-0.7271539,21.508293
20,0,22.709993,-31.551764
